Ten,Dia chi,Loai,So dien thoai,Hinh anh,Link Anh Goc,Gioi thieu,Website,Lat,Lng,Tu khoa goc
Văn phòng Thừa Phát Lại Quận 1,"124 Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",Văn phòng công ty,+84 28 3820 6999,downloaded_images\c8c5fa40cee5cdd16d8697f36e84d0ed.jpg,https://lh3.googleusercontent.com/p/AF1QipM7p0LJ2GDHiMQRIS6_LKOYD7ilIOEdSl2PqHu-=w122-h92-k-no,Không có,http://manhhunggroup.com.vn/,10.7922569,106.6920225,Phòng công chứng Quận 1
Văn Phòng Công Chứng Bến Nghé,"31 Đ.Lê Thạch, Phường 13, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Công chứng viên,+84 902 452 450,downloaded_images\996f4ec4ce1b94f1bbbe675c1c0fbe45.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxuxjFrBLu1wezow6-96BcPjRjS38MgYFNnYPuWA784rYK1MLDxmZv0jlvWT4xT8d3hM-Ap8KvMe2i1_omKyl2S0iwaAEL020jA3nVD2JH3VBvBwUXRfei5VofkmJX99hoT4NT1=w122-h92-k-no,Không có,Không có,10.763986599999999,106.7061585,Phòng công chứng Quận 1
Văn phòng Công chứng Nguyễn Việt Cường,"184 Duong Ba Trac, Phường Rạch Ông, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",Dịch vụ pháp lý,+84 28 3850 7979,downloaded_images\6aab9bcd0970d73e4621fca2d1a1466a.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwluOAAcrzAp5MVEoECuC0kch6l2P4gZYNKt60ajPxv63vUz5cllUpx7RH2gfR5s_850hvhjOBmbLRE_3t99g0FwpLlj8Al_CU1YB-YwW2YXJrZdNX2KPLwYNsXoVIbeg5PGd4=w80-h142-k-no,Không có,Không có,10.746857,106.68880899999999,Phòng công chứng Quận 1
Văn Phòng Công Chứng Quận 10 (cũng là Văn phòng Công chứng Nguyễn Lê Nghĩa),"Lê Hồng Phong/519 phường Vườn Lài, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng công ty,+84 902 219 897,downloaded_images\acd7501992b13c69dbc30ecef34b2f75.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSylr5HT_sl1WtXPigh6q6X1ORDSjZO_17_sUMdp2DaCJM3ITzpRJ2UFa83xV1-4cN2kTu-LkIZarBD_GcnVUo8tYT1rKTIL8oLQhJQ_HPPvX9Qpt5hHN9Qd1PwkRWWFiGktrWhg=w163-h92-k-no,Không có,http://vpccquan10.vn/,10.7671172,106.674369,Phòng công chứng Quận 1
VĂN PHÒNG CÔNG CHỨNG TRUNG TÂM THÀNH PHỐ HỒ CHÍ MINH (tên trước đây: VĂN PHÒNG CÔNG CHỨNG PHẠM XUÂN THỌ),"240 Nguyễn Thị Minh Khai, Phường 2, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Công chứng viên,+84 28 3930 3808,downloaded_images\be072732b1f21723c71a4533cd9a1d30.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxq-m3iY7eAMArEt0cCvtlBvFKet8CjG6rNpF04GRrJCL9KuB94S_jgDi9EbMw0yFMDqEeGVQP_1SsB3syOswjvXrBOYFYW4jbedaGQwVhu0h8HafpwUkxINvkAYXWR1Xo-ksi-2w=w123-h92-k-no,Không có,https://congchungtrungtam.com.vn/,10.7742991,106.6897592,Phòng công chứng Quận 1
Văn phòng Công Chứng Châu Á,"44 Võ Văn Tần, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Công chứng viên,+84 28 3930 0903,downloaded_images\e2f88c4c7c732d25f6e31cbcd93576a1.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwh0QXU7laZPkpd-tC5Msr3rYHuw1l378RBzWXAhMTltpPLbd1KBksUpf613z5QU1NaSRa9F7wuz8OyuxBBPwi-hbpFjhIKqPV9_s3TXem4QVSLzVC11xZbDbb7JQ_Bh4DyZ56X=w163-h92-k-no,Không có,http://congchungchaua.vn/,10.7780466,106.6913426,Phòng công chứng Quận 1
Văn Phòng Công Chứng Vũ Ái Lê,"138 Hà Huy Tập, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh 00700, Việt Nam",Văn phòng công chứng tư pháp,+84 848 138 138,downloaded_images\c8605f5f01ce70d5697dead46756fba3.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxMMk0Hs8l8VH3Kpeia8MV-sKZ3cPQ-s_fwVaMa-FjpsCCFvjZnH9oFCZVsmwzDiMuLJ9N01ZeFjKQi6SZwRdkgBa0F-7Jxb9nRQCNRd4BJTiUgH60Sl2qQPbG4CPl8KkNZhZk=w80-h106-k-no,Không có,Không có,10.726587499999999,106.7091926,Phòng công chứng Quận 1
Văn Phòng Công Chứng Nguyễn Nguyệt Huệ,"156 Đ. Phạm Văn Chí, Phường 1, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",Công chứng viên,+84 28 6275 9519,downloaded_images\6fa62685ff45b4e5f98e75293eaa87bb.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzraFB2FVCHcxrX_TG8M6YmRQsgf2SaIxA0xuq-fCTAGVI1zwvFcHemqjbPy677-aAZCHQTVX_F8R0u76Nz5kWNV7yySLKIdCZvxEgdG_FKLxEQhLMREqq7G2tqrIQewNChIEAL=w80-h94-k-no,Không có,https://congchungquan6.com.vn/,10.7454577,106.64774849999999,Phòng công chứng Quận 1
Dịch thuật công chứng 123,"số 168 Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Công chứng viên,+84 934 532 999,downloaded_images\5b58302c0d310115f7600e8f8effca94.jpg,https://lh3.googleusercontent.com/p/AF1QipPQHezudJ0KY0Z8Z46Aulsh2EN0jLpw7vyOotBb=w137-h92-k-no,Không có,https://dich123.vn/,10.763656899999999,106.69105139999999,Phòng công chứng Quận 1
DỊCH THUẬT CÔNG CHỨNG THP TẠI SÀI GÒN HCM,"34 Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng công ty,+84 889 919 955,downloaded_images\159e67021805218b887d6304b6802c1d.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwC6Uawr1xNEYWwA6qB13l4x_bFmN_1UdOeFLZKht-HKI-M1RIW3KbAp4P8NF2RGhaw0PhOPv0bUDqZAVqMBn5MyzF_SidRYGh18lLWwnlG2k-fFMxRoRtYXcnCxuk1-XnjhVb4UnXA5y2A=w101-h92-k-no,Không có,http://dichthuattamhoaphat.com/,10.780987,106.6984947,Phòng công chứng Quận 1
Dịch thuật công chứng tại Quận 1,"Số 1 Hai Bà Trưng, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng công ty,+84 983 820 520,downloaded_images\cb2e89561ff81a210f9ebc5518784ce0.jpg,https://lh3.googleusercontent.com/p/AF1QipM6glR7yXXm-yYu9AhZJcupKhtbGzXihnvnNjfb=w138-h92-k-no,Không có,https://dichthuathaco.com.vn/,10.791995799999999,106.6869904,Phòng công chứng Quận 1
Công An Quận 3,"243 Cách Mạng Tháng Tám, Phường 4, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",['Đồn cảnh sát'],+84 28 3839 2764,downloaded_images\7e6750055e87b1bf9506870bef6f58bd.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZ0CcAXJMle5yp0JwW-XO_AZQmegtVFYTAC5XmReAnWGqQ2hcQsgMsn4U3lV1ksiE5go2sMAn_ProJgy15I6fQ9Glqjn_OzrGFF1UOl-sG4SkNlJEUeSDj0KCa4uByfU-PR_w=w152-h86-k-no,Không có,Không có,10.7768385,106.6825933,Công an Quận 3
UBND Phường Xuân Hoà,"99-99A Trần Quốc Thảo, Phường 7, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính quyền quận,+84 28 3932 6868,downloaded_images\ac27e5f757a60dd04c0cdce0f9aaaa8d.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzaa_ZV2XQ20iiIyn0Z5Z0-7ollLCckFpQgEladndoMCJJ9VLgvkOSQ6dEL3jXehlmszVfOqkpzFsvxHuBn9fsE7TZhn-7wYNu_LxKx6b3mIXpjKhG3s16hTzDye-zGv5Mp8jk=w122-h92-k-no,Không có,http://quan3.hochiminhcity.gov.vn/,10.7828058,106.6861435,Ủy ban nhân dân Quận 3
UBND Phường 4 Quận 3,"337 Điện Biên Phủ, Phường 4, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính quyền địa phương,+84 28 3832 8197,downloaded_images\8abcf6de282775f046bf7f0f0b57feed.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwa4gh4z_BK5Osq9cfCwfnGDDNBHAKsGA-s46eTRj8DIlW0_wY6Eqk990Lrq8iirtEdzz-1r4w2vTjTR53RxPl7OuW0SVKc7OADFw-hohKTiuzXHIWCCwAlX0BWRXSWCKXL05UVunlpj5Y=w122-h92-k-no,Không có,Không có,10.7753006,106.68248679999999,Ủy ban nhân dân Quận 3
Trung Tâm Y Tế Quận 3,"116 Trần Quốc Thảo, Phường 14, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",['Trung tâm y tế'],+84 966 821 010,downloaded_images\33e94b89f1920a19cec523501600cf7e.jpg,https://lh3.googleusercontent.com/p/AF1QipOXVXYyQbIDwBZenw8-UcaYCow4jEkLO3WH-geb=w114-h86-k-no,Không có,http://trungtamytequan3.medinet.gov.vn/,10.7848247,106.68384569999999,Trung tâm y tế Quận 3
Bệnh Viện Quận 3,"114 Trần Quốc Thảo, Phường 14, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",['Bệnh viện'],+84 28 3931 0400,downloaded_images\476357f59fad4c589ddc1055cef92af0.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxCAJcTiAGnx2vnZAZgpy-8zQsIk1RMw1PUf3_8f4OVTALaX8IV6J3DZU8LakryUKASFmZrIuq08A245MbkDNHg4_3CqD88YIysyR-1Bagj9eqGU4mUTNGU5bT2mrTms4IM9o2S=w86-h114-k-no,Không có,/url?q=https://bvquan3.medinet.gov.vn/default.aspx&opi=79508299&sa=U&ved=0ahUKEwjhivvUsaiRAxV2J0QIHaULD7oQ61gIFygS&usg=AOvVaw32Dp2xPxX-2GKkWFXjL8O3,10.7847873,106.6839614,Bệnh viện Quận 3
Đội Cảnh Sát Giao Thông Trật Tự Cơ Động Quận 3,"243 Cách Mạng Tháng Tám, Phường 4, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính phủ,Không có,downloaded_images\2922abdd188d508b3b39e44ae5e417cb.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx544qZGGZ5GpmceicQGaJ2nwMFPQW4kcRCWczftKL6tlwvuElWxtBsQ7QYuS4R0wsP5ofa3p6SRNS8vvrWbkHuS1cBBgUL8PyJUT622U1AzQNn26ta_XTZH4mzpZtDHS3zZXuo8ekfy575=w122-h92-k-no,Không có,Không có,10.7768271,106.6825564,Đội Cảnh sát giao thông Quận 3
Đội CSGT Bàn Cờ,"369 Võ Văn Tần, Phường 5, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Trạm cảnh sát giao thông,+84 28 3839 1868,downloaded_images\7e74c80fa1b04cec6c4ba63894e2b6db.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyO2qBj5IIvE0Gp3dbjn6fBOZavSxFOicAiH4Dz5ACNHcY7HkuHN1llv7IXH80hXBZqmijFECB2uqzp_ttbzbjEah17rraNyGZI69yaExW1mCFXz-qt9u2BTZkml5fEW1e65NP2Vg=w80-h106-k-no,Không có,Không có,10.770780799999999,106.685099,Đội Cảnh sát giao thông Quận 3
Phòng CSGT Đường Bộ - Đội Tuần Tra Dẫn Đoàn,"16 Phạm Ngọc Thạch, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam",Cảnh sát liên bang,Không có,Không có,,Không có,Không có,10.7839806,106.6947404,Đội Cảnh sát giao thông Quận 3
Đội PCCC & CNCH Quận 3,"106 Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",['Trạm cứu hỏa'],+84 28 3526 5427,downloaded_images\bc295ecb9259539bbf320293977333e3.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxlyAUPv8OjacrewqlooEMakkOjIK_Q6NVmJA0wLKpwVaFoDxADBpBKX4DwXTM4jeksACRMgPlrpru25M8PjTbwFXh1EC9la1i6VDvh5ueOq6LnCtwy_LkyluUhMqDxn7A8SMY=w152-h86-k-no,Không có,Không có,10.789565,106.68549139999999,Đội Cảnh sát PCCC và CNCH Quận 3
Văn phòng Công Chứng Văn Thị Mỹ Đức,"47E Nguyễn Thông, Phường 9, Quận 3, Thành phố Hồ Chí Minh 70000, Việt Nam",Công chứng viên,+84 28 3526 2556,downloaded_images\d974dc2dad322a21c03cedbcf4fa292a.jpg,https://lh3.googleusercontent.com/p/AF1QipO3RhVlId0h4SAKhbweKYkqIz772S1dG_Nv-yXH=w129-h92-k-no,Không có,https://congchungmyduc.com/,10.779494999999999,106.68187499999999,Phòng công chứng Quận 3
Văn phòng Công chứng Nguyễn Hà Sơn,"Võ Văn Tần/281 Bàn Cờ, Phường, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam",Văn phòng công chứng tư pháp,+84 931 000 096,downloaded_images\3c5f77eec16a2282d8684dac3d8e8dd3.jpg,https://lh3.googleusercontent.com/p/AF1QipMqbqJzpymvG8svx6c62_MrwMXGutd539cKyu1g=w122-h92-k-no,Không có,http://nguyenhason.com/,10.772293,106.6864494,Phòng công chứng Quận 3
HỆ THỐNG LUẬT THỊNH TRÍ - TT. LAW GROUP,"57 Võ Thị Sáu, Phường Xuân Hoà, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam",Nhà cung cấp dịch vụ hỗ trợ pháp lý,+84 1800 6365,downloaded_images\56140dc3d1b81bf1d455e2a239ab617f.jpg,https://lh3.googleusercontent.com/p/AF1QipN1nAX27FbquyNRSzm7WIh4NIeTh5lffV1-mucJ=w80-h129-k-no,Không có,https://thinhtrigroup.com/,10.7876025,106.691835,Phòng công chứng Quận 3
Văn Phòng Công Chứng Lấp Vò,"210 Đ. 3 Tháng 2, Phường 12, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Công chứng viên,Không có,downloaded_images\4223670db8604020942a81e7a9980023.jpg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7kyfXAUeINsB0Ph0KlTMdw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=331.1306&pitch=0&thumbfov=100,Không có,Không có,10.774272199999999,106.6780562,Phòng công chứng Quận 3
Công An Quận 4,"14 Đoàn Như Hài, Phường 12, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",['Đồn cảnh sát'],+84 28 3940 0188,downloaded_images\bf53af061920f78fd264464faab500a0.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxqw22VrruI0425N_xCrVX6npJy1ydDKmRLWQ83dXPWgX_5_mW2zNvjt7HI_QC9AzIrianDzQ858t9wNJS27FuSoEHc2B2Tomv_xK2tm-gflAXOuGUW8AQvZtmQ3i3pfF1UtAdC=w176-h86-k-no,Không có,Không có,10.7667934,106.7057798,Công an Quận 4
Trung Tâm Y Tế Quận 4,"217 Khánh Hội, Phường 2, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Dịch vụ y tế địa phương,+84 28 3826 5949,downloaded_images\ad4eb17b808138a3f4ad308d3c5ae745.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzaUiSC4vTigwyMXSOWXqPUmLaNOaVZi4a49FvEzMghW8DZbBBW7CzDk5FJo7o7mCApMlqUmtMfyKEC1FqnaRj7NYbEB1yqCN_gj7JauXR-kkYKJPDi55FNq06uhEsqy4oZcVf0JQ=w80-h106-k-no,Không có,Không có,10.758324199999999,106.6992894,Trung tâm y tế Quận 4
Trung Tâm Y Tế Quận 4,"2 Đ. Lê Quốc Hưng, Phường 12, Quận 4, Thành phố Hồ Chí Minh 70000, Việt Nam",Bệnh viện,+84 28 3539 2827,downloaded_images\90232a032a5d7080fe046737e32eb584.jpg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6r-Xj4mnO66zJXytKmXgSg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=143.40758&pitch=0&thumbfov=100,Không có,https://trungtamytequan4.medinet.gov.vn/,10.7653885,106.702652,Trung tâm y tế Quận 4
Trạm Y Tế Phường 4 Quận 4,"183 Tôn Thất Thuyết, Phường 4, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Trung tâm y tế,+84 28 3940 2921,downloaded_images\bd8cb503c13b572cfc8f5ee6889123b8.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy3CRFM74Y6_STyZrNOLeE1efu7DoAyUyXTyrFYkhSseG7_6EfENvdVVD574VYjGOlmvYXtgBiVn9uxUnz4ZBBBNU_S9_OTo2Ompat6xcFJkB9m1kLRAhw4ICKnQJeE-pEcp7H6RQ=w80-h106-k-no,Không có,https://timbenhvien.vn/chi-tiet/tram-y-te-phuong-4-quan-4/1190,10.753298,106.70354309999999,Trung tâm y tế Quận 4
Bệnh viện Quận 4,"65 Bến Vân Đồn, Phường 12, Quận 4, Thành phố Hồ Chí Minh, Việt Nam","['Bệnh viện', 'Bệnh viện đa khoa']",+84 838 261 568,downloaded_images\6d88a3b3891c24f23ea40d37e3aba3fd.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzn1qOwAA3VIRXYxK05_-gE7ymPrXyxkgSABphXr9VWRSDDKk2BfOl7Ax6FcPPWC8DCNTGHcDqcgzhySXVgPAPVaIMGSkSsVF4Q_2WpCH2dDLewwxY5f4HDDa34ytaPgT7t-ZQb=w86-h86-k-no,Không có,http://benhvienquan4.vn/,10.765396899999999,106.7021024,Bệnh viện Quận 4
Đội Cảnh Sát Trật Tự Giao Thông Quận 4,,Tòa án ở Thành phố Hồ Chí Minh,Không có,Không có,,Không có,Không có,,,Đội Cảnh sát giao thông Quận 4
PCCC quận 4,"QP33+88M, Phường 4, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Trạm cứu hỏa,Không có,Không có,,Không có,Không có,10.7533304,106.7032856,Đội Cảnh sát PCCC và CNCH Quận 4
Đội CC & CNCH KV13,"số 2 Đường T6, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",Dịch vụ phòng cháy,Không có,downloaded_images\d24d404df52560e57dd161b817b1d01e.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyw_gZgKqW_3onmSOjQzW2GW7JaEag115LB_KCT28MfgcKaI3O-4VE1xO8BXbNB9ceKsiOqcpQ1mwR1y4YEl9YD_UiU488DBSvnkYVSdh3ewOiNjGLjH8hY2cRJ-b08pCCknbk3=w122-h92-k-no,Không có,http://www.pccc.hochiminhcity.gov.vn/,10.8097499,106.6172397,Đội Cảnh sát PCCC và CNCH Quận 4
Đội PCCC & CNCH Quận Bình Thạnh,"18A Phan Đăng Lưu, Phường 7, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Trạm cứu hỏa,Không có,downloaded_images\390c31851b2fa54ae6e598e907654c5a.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy6yfKFs4qs6gUs41L3NC5eaETx56klujuozEhWSBwTx5nrHjV4mMEmsng34q9bmsTkMdKdqs-qYaobw6CwhBr2Obb_te_SaDSM0gUB0Zv8l4HPa-TGfyAv2fOnflT_nDyPWohsbA=w122-h92-k-no,Không có,Không có,10.803549199999999,106.690975,Đội Cảnh sát PCCC và CNCH Quận 4
Đội PCCC & CNCH Quận 8,"250 Đ.Tùng Thiện Vương, Phường Xóm Củi, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",Trạm cứu hỏa,+84 28 3857 5943,downloaded_images\6a780a91817152c39c352821a00a43a8.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz1H_mWyDOh29tlLQXMxThbO7vXX-qOqO6yZ4RzeqBQzXG-pUOCweRCiUJvJokepy72YfWdCRRnY7N2iXUuA3R9ij7gM1Ik35atwya1i4FIGQAuxxRaHOhW8P5hd1psCc0lcmYy=w138-h92-k-no,Không có,Không có,10.7470289,106.661301,Đội Cảnh sát PCCC và CNCH Quận 4
Đội PCCC & CNCH Quận Gò Vấp,"108 Đ. Phan Văn Trị, Phường 1, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Trạm cứu hỏa,Không có,downloaded_images\fffd15e7a35b02066fa5631e1b4e49b2.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz5Sy1ilgzubA7lrJPWtq6JaSLYoCTnxz8ZNFOvy8ByRYApfk1PeSUHaqcTkjiKZ2Dgj9IDtMveRk_Ud8eGdXhyVT8PQEjIwBYnL356UR4uZxoqwEslmtA19selNP7UcmnkFsYs=w122-h92-k-no,Không có,Không có,10.8281362,106.6851117,Đội Cảnh sát PCCC và CNCH Quận 4
Đội PCCC & CNCH Quận Tân Bình,"856 Đ. Âu Cơ, Phường Tân Bình, Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Trạm cứu hỏa,+84 369 438 112,downloaded_images\b0943be92b3b763228140ab2c0c7c70d.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzCH69kaJeECtgvOTz2S3JLxvGEOJUdaTDBfVh0MKtgozfwpY3Zf7E2Uqk16p0h32dBxcLvu7hsqetdVXiO63Oc9iTHxoN3S1ULikqHSHpaG7JCqZe2R9cPPYTMrSXfjxbtA5qY=w80-h106-k-no,Không có,Không có,10.7935805,106.63911809999999,Đội Cảnh sát PCCC và CNCH Quận 4
VĂN PHÒNG CÔNG CHỨNG QUẬN 4 - LÊ QUỐC HUY,"Đoàn Như Hài, Phường 13, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Công chứng viên,+84 846 458 866,downloaded_images\3475e42a89be1d8c00529e745aedae96.jpg,https://lh3.googleusercontent.com/p/AF1QipNT1HPMIa0yYCd2eDxwO9cfpV0hMepy9N5O1klt=w87-h92-k-no,Không có,https://www.facebook.com/vanphongcongchungq4,10.7659875,106.70493239999999,Phòng công chứng Quận 4
Văn Phòng Công Chứng Nguyễn Minh Tấn,"53-55 Đ. Số 41, Phường 9, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng công ty,+84 939 187 357,downloaded_images\a51001604e6ed3e3c28863479d3ca82c.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz4LrNYWUbDgnXO1d5QIOAVk9agw02uxaHgoCW024ton_j7FX4Rte-iWkTqEHEirfX_4Rx-8VuE7EyyDf_-VMPvXNC71Ts3wGH8IcsWeqFqAHGTS49HVUJe4fvMM1SzJ573xm8=w122-h92-k-no,Không có,https://nhanlucnganhluat.vn/nha-tuyen-dung/van-phong-cong-chung-nguyen-minh-tan.html,10.7590804,106.7007996,Phòng công chứng Quận 4
Công chứng Hội nhập,"230 Đ. Số 48, Phường 2, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Dịch vụ pháp lý,Không có,downloaded_images\ff3ae160214188f1a25bb406add41ca2.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwgn_NtCuTeRcp02Xj5jMSvGJCiKpaOn9sGD-n008VEeVjKaYiD6nfl0M8ZVbgAm5bm1SjuzDrbiA0rkcvRtPBGmX8XAMFbbG1SmAwIZj1ArT5Hxs9kQ6vf9eXd4tDDedIGswcKdi0S6qHg=w80-h106-k-no,Không có,Không có,10.7591538,106.6983601,Phòng công chứng Quận 4
"Phòng công chứng số 4, thành phố Hồ Chí Minh","25/5 Hoàng Việt, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 70000, Việt Nam",Công chứng viên,+84 28 3811 7593,downloaded_images\2f055a6bcee9b2552a2603f8773e45fc.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzPMGEQdueVWH_we60CGs1_1R8y57wCII7wZt6b0pNt5VsNsvA9yQuoBqJF_-2da8_E2BANgy15WBHWAyQvtOOVHb_mG0355d4vZIlU2dF0YFQXxhi_nqNEbcroZxQGBw4jE5KzNuYp9Fks=w163-h92-k-no,Không có,http://phongcongchung4tphcm.vn/,10.7950313,106.65977819999999,Phòng công chứng Quận 4
Văn Phòng Công Chứng Quận 4,"122/27/88 Đ. Tôn Đản, Phường 8, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng công ty,Không có,downloaded_images\8454baa1690b1a2feb3ec3efd78e267b.jpg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Dqz89KncqD9vLAAfTcLKwQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=297.27536&pitch=0&thumbfov=100,Không có,Không có,10.758958999999999,106.704224,Phòng công chứng Quận 4
Công An Quận 5,"359 Trần Hưng Đạo, Phường 11, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Sở cảnh sát,+84 28 3855 0878,downloaded_images\986db58f717992b42d2ebb88f954d5dd.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwkO5iE0Ku6h6cp8UZjCZKviOvFkQg5_5ICCk8INP-0eCGNnZkU_8h5_y1NrY0jo61SXFnFW7fhDRwh0F3NVdiHJsz1ZERHPTYw1fKyraWY2E_g_ubLEXgEIHcfXb2ikhNUayUf=w80-h106-k-no,Không có,Không có,10.7519262,106.6606894,Công an Quận 5
Công An Phường 5 Quận 5,"23 Đ. Nguyễn Văn Đừng, Phường 5, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Cảnh sát dân sự,+84 28 3923 5687,Không có,,Không có,Không có,10.7511792,106.6710296,Công an Quận 5
Công An Phường 5 Quận 5,"77 Đ. Nghĩa Thục, Phường 5, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Đồn cảnh sát,+84 28 3923 4504,Không có,,Không có,Không có,10.752463899999999,106.6745696,Công an Quận 5
"Công An Phường 1, Quận 5","660 Võ Văn Kiệt, Phường 1, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Đồn cảnh sát,+84 28 3923 4550,downloaded_images\af8d4e21acd71cf0a49260ca918f249e.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxDUQXNCjIDwAURKh6uc4IWQmcTuSsME4CPALuQ0AJ_BcNfJB2A5UatxN169Rn4b-3m3gE1t6dZbrubshTCqGnzKTe5_ozu2WXxnO6IkjcoDRwIHFgJKOfLnOBVxWl4V7y-1dY15g=w80-h106-k-no,Không có,Không có,10.7520133,106.6837035,Công an Quận 5
UBND Phường Chợ Quán,"209 An Dương Vương, Phường 7, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính quyền địa phương,+84 28 3855 0250,downloaded_images\f43eb2def607fdc65769866e2dec51f5.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxs12YrpljXxd6mPC_ecl-qZeZ4RB_i7l1s8cD7UiO9PAex4snOL9tKrFdn9KYsMe8oBYJ2oKtE3cZh7GMAqkxHw5bLLHs0xtD2qM5mBUx-NtT_XomDAW7PhDMyb7oyEvvHX0KzrA=w122-h92-k-no,Không có,Không có,10.7558677,106.6669355,Ủy ban nhân dân Quận 5
